,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
count,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0
mean,0.15098039215686274,0.15098039215686274,0.056372549019607844,0.49688947694462404,4.331976203943116,0.035755265068990565,inf,0.7448969188055063
std,0.09011526477890172,0.09011526477890171,0.03360236798692306,0.27913624236082335,3.8069465366818966,0.025135874154073125,,0.2333270109709582
min,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.15384615384615385,0.9375,-0.002962962962962966,0.9777777777777779,-0.08333333333333341
25%,0.06666666666666667,0.06666666666666667,0.044444444444444446,0.25,2.25,0.02518518518518519,1.1851851851851851,0.6335227272727272
50%,0.1111111111111111,0.1111111111111111,0.044444444444444446,0.41666666666666663,3.0000000000000004,0.03259259259259259,1.5,0.7968750000000001
75%,0.26666666666666666,0.26666666666666666,0.044444444444444446,0.6666666666666667,4.5,0.040123456790123455,2.666666666666667,0.9311454929848164
max,0.28888888888888886,0.28888888888888886,0.26666666666666666,1.0,22.5,0.19555555555555554,inf,1.0
