,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
count,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0
mean,0.14161016288675862,0.14161016288675862,0.0347985347985348,0.3453117624792453,3.1727530241688493,0.01740526249527886,inf,0.5663229292522215
std,0.08568502280153971,0.08568502280153971,0.017500428025963632,0.23437121246142595,3.1168196791884046,0.015531784471731307,,0.3259582652185612
min,0.027472527472527472,0.027472527472527472,0.02197802197802198,0.07017543859649124,0.5149971703452179,-0.02587247916918247,0.8188926458157227,-0.5782726045883942
25%,0.07142857142857142,0.07142857142857142,0.02197802197802198,0.1596407624633431,1.5053763440860215,0.009419152276295134,1.0665098245553506,0.41161318810715325
50%,0.12087912087912088,0.12087912087912088,0.027472527472527472,0.2777777777777778,2.153846153846154,0.015426880811496195,1.1744505494505493,0.6253531073446328
75%,0.20879120879120877,0.20879120879120877,0.038461538461538464,0.4444444444444445,3.25,0.022702572153121603,1.5185439560439562,0.8170152610441765
max,0.3131868131868132,0.3131868131868132,0.14285714285714285,1.0,19.5,0.11103731433401762,inf,1.0
