,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
count,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0
mean,0.2322048611111111,0.2322048611111111,0.06298225308641975,0.43267098777954466,2.3112262093277165,0.02377809124228395,inf,0.531104368258017
std,0.1741158584861639,0.1741158584861639,0.03603224569378944,0.2865599809792046,1.684014178685319,0.023479135071621075,,0.3745384051372038
min,0.046875,0.046875,0.046875,0.08333333333333333,0.547008547008547,-0.0517578125,0.6319444444444444,-0.654320987654321
25%,0.09375,0.09375,0.046875,0.2,1.3241379310344827,0.01171875,1.0456730769230769,0.30092764378478665
50%,0.1875,0.1875,0.046875,0.3333333333333333,1.7777777777777777,0.0255126953125,1.2166193181818181,0.5923747276688454
75%,0.25,0.25,0.0625,0.6222527472527473,2.742857142857143,0.03466796875,1.953125,0.8300653594771242
max,0.5625,0.5625,0.375,1.0,12.0,0.1201171875,inf,1.0
