,classifier,test_mean_accuracy,test_mean_f1,test_mean_recall,test_mean_precision,train_mean_accuracy,train_mean_f1,train_mean_recall,train_mean_precision,running time (sec)
0,RF,[0.7828771403574553],[0.8031115047078115],[0.8006271758544486],[0.816690612018201],[0.9933967239560713],[0.9939540000303589],[0.9927219023815635],[0.9952538470038775],55.3825569152832
1,SVM,[0.7368891388576428],[0.75757510404675],[0.7445033627988173],[0.7910514456226356],[0.993308618229199],[0.9939307607504303],[0.9940508110641938],[0.9938817294609534],55.3825569152832
2,MNB,[0.7273903262092238],[0.7379210371867071],[0.7502564733246552],[0.7453135139744649],[0.9058809797108643],[0.914886171681057],[0.9248071695326816],[0.9082650087252523],55.3825569152832
3,LR,[0.7614923134608174],[0.780127389369511],[0.7710118543073089],[0.805510995934498],[0.992516287150214],[0.9930264183349444],[0.9928042039462767],[0.9933380029011761],55.3825569152832
4,MLP,[0.7250468691413573],[0.7393882912574474],[0.7311730945821855],[0.7724094353381552],[0.9919881181361295],[0.992344885912922],[0.9926282070241884],[0.9921385156280628],55.3825569152832
