,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
247,time,love,0.054945054945054944,0.09340659340659341,0.02197802197802198,0.4,4.2823529411764705,0.016845791571066297,1.510989010989011,0.811046511627907
255,pick,people,0.027472527472527472,0.21428571428571427,0.027472527472527472,1.0,4.666666666666667,0.021585557299843013,inf,0.807909604519774
258,spread,people,0.04945054945054945,0.21428571428571427,0.02197802197802198,0.4444444444444445,2.0740740740740744,0.011381475667189956,1.4142857142857141,0.5447976878612718
263,post,video,0.07692307692307693,0.24175824175824176,0.04395604395604396,0.5714285714285714,2.3636363636363633,0.0253592561284869,1.769230769230769,0.6249999999999999
268,remove,video,0.06043956043956044,0.24175824175824176,0.038461538461538464,0.6363636363636364,2.6322314049586777,0.023849776597029346,2.085164835164835,0.659983291562239
270,report,video,0.10989010989010989,0.24175824175824176,0.06043956043956044,0.55,2.2750000000000004,0.0338727206859075,1.684981684981685,0.6296296296296297
273,violate,report,0.054945054945054944,0.10989010989010989,0.027472527472527472,0.5,4.55,0.021434609346697258,1.7802197802197801,0.8255813953488371
275,scam,video,0.054945054945054944,0.24175824175824176,0.027472527472527472,0.5,2.0681818181818183,0.014189107595701002,1.5164835164835164,0.5465116279069767
277,start,video,0.038461538461538464,0.24175824175824176,0.02197802197802198,0.5714285714285714,2.3636363636363633,0.01267962806424345,1.769230769230769,0.6
278,violate,video,0.054945054945054944,0.24175824175824176,0.03296703296703297,0.6,2.481818181818182,0.019683613090206498,1.8956043956043955,0.6317829457364341
281,work,video,0.038461538461538464,0.24175824175824176,0.027472527472527472,0.7142857142857142,2.954545454545454,0.01817413355874894,2.653846153846153,0.688
