,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
count,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
mean,0.16373080397470638,0.16373080397470638,0.06910569105691056,0.5618112460768877,4.227581771356957,0.04637993910803305,inf,0.808673331908046
std,0.11245451820233358,0.11245451820233358,0.022170489335299654,0.2754388415390947,2.6684863365243356,0.01827778972600687,,0.1647194858274421
min,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.13043478260869565,1.5652173913043477,0.02400548696844993,1.0648148148148149,0.40625
25%,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.3333333333333333,2.25,0.03463648834019204,1.333333333333333,0.6823966408268735
50%,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.5,3.0,0.043209876543209874,1.7777777777777777,0.8558064516129031
75%,0.2037037037037037,0.2037037037037037,0.07407407407407407,0.7875000000000001,5.7857142857142865,0.04938271604938271,3.4722222222222223,0.9480600750938672
max,0.42592592592592593,0.42592592592592593,0.16666666666666666,1.0,13.5,0.09567901234567901,inf,1.0000000000000002
